id,popularity,budget,revenue,original_title,cast,runtime,genres,vote_count,vote_average,release_year,budget_adj,revenue_adj,profit,profitability_ratio,revenue_rating,decades,director_split
339527,3.358321,0,22354572,Solace,Abbie Cornish|Jeffrey Dean Morgan|Colin Farrell|Anthony Hopkins|Marley Shelton,101,Crime|Drama|Mystery,474,6.2,2015,0.0,20566197.1908732,22354572,99,millions,twenty_ten,Afonso Poyart
105864,3.3391349999999997,175000000,331926147,The Good Dinosaur,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,93,Adventure|Animation|Comedy|Family|Fantasy,1087,6.6,2015,160999929.16003102,305371920.876354,156926147,47,millions,twenty_ten,Peter Sohn
241554,3.23737,50000000,71561644,Run All Night,Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill,114,Action|Crime|Drama|Mystery|Thriller,814,6.3,2015,45999979.7600089,65836683.5118592,21561644,30,millions,twenty_ten,Jaume Collet-Serra
167073,3.227329,11000000,62076141,Brooklyn,Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins,111,Drama|Romance,754,7.3,2015,10119995.5472019,57110024.5915891,51076141,82,millions,twenty_ten,John Crowley
277216,3.2027189999999996,28000000,201634991,Straight Outta Compton,O'Shea Jackson Jr.|Corey Hawkins|Jason Mitchell|Neil Brown Jr.|Aldis Hodge,147,Drama|Music,918,7.7,2015,25759988.665604897,185504110.098191,173634991,86,millions,twenty_ten,F. Gary Gray
274854,3.080505,90000000,140396650,The Last Witch Hunter,Vin Diesel|Rose Leslie|Michael Caine|Elijah Wood|Ã“lafur Darri Ã“lafsson,106,Fantasy|Action|Adventure,879,5.6,2015,82799963.56801601,129164861.16746101,50396650,35,millions,twenty_ten,Breck Eisner
321697,3.0795220000000003,30000000,34441873,Steve Jobs,Michael Fassbender|Kate Winslet|Seth Rogen|Katherine Waterston|Jeff Daniels,122,History|Drama,1035,6.9,2015,27599987.856005296,31686509.2179359,4441873,12,millions,twenty_ten,Danny Boyle
203801,3.0534209999999997,75000000,108145109,The Man from U.N.C.L.E.,Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki|Luca Calvani,116,Comedy|Action|Adventure,1548,7.0,2015,68999969.64001329,99493456.50287908,33145109,30,millions,twenty_ten,Guy Ritchie
293863,3.025852,25000000,42629776,The Age of Adaline,Blake Lively|Michiel Huisman|Harrison Ford|Ellen Burstyn|Kathy Baker,112,Fantasy|Drama|Romance,1221,7.3,2015,22999989.8800044,39219376.6634742,17629776,41,millions,twenty_ten,Lee Toland Krieger
325348,3.023253,10000000,14333790,Hardcore Henry,Sharlto Copley|Haley Bennett|Danila Kozlovskiy|Tim Roth|Andrei Dementiev,97,Action|Adventure|Science Fiction,396,5.9,2015,9199995.95200178,13187080.9976843,4333790,30,millions,twenty_ten,Ilya Naishuller
228161,2.976436,135000000,368871007,Home,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones,94,Fantasy|Comedy|Animation|Science Fiction|Family,1060,6.9,2015,124199945.352024,339361177.121082,233871007,63,millions,twenty_ten,Tim Johnson
286565,2.968254,12000000,85512300,Paper Towns,Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams,109,Drama|Mystery|Romance,1252,6.2,2015,11039995.1424021,78671281.38463621,73512300,85,millions,twenty_ten,Jake Schreier
265208,2.93234,30000000,0,Wild Card,Jason Statham|Michael Angarano|Milo Ventimiglia|Dominik GarcÃ­a-Lorido|Anne Heche,92,Thriller|Crime|Drama,481,5.3,2015,27599987.856005296,0.0,0,0,under_million,twenty_ten,Simon West
254320,2.8851259999999996,4000000,9064511,The Lobster,Colin Farrell|Rachel Weisz|LÃ©a Seydoux|John C. Reilly|Ben Whishaw,118,Thriller|Comedy|Drama|Romance|Science Fiction,638,6.6,2015,3679998.38080071,8339346.45068756,5064511,55,millions,twenty_ten,Yorgos Lanthimos
258480,2.883233,11800000,40272135,Carol,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,118,Romance|Drama,562,7.1,2015,10855995.2233621,37050347.8978469,28472135,70,millions,twenty_ten,Todd Haynes
257211,2.8148020000000002,35000000,194564672,The Intern,Robert De Niro|Anne Hathaway|Rene Russo|Anders Holm|JoJo Kushner,121,Comedy,1255,7.1,2015,32199985.8320062,178999419.480255,159564672,82,millions,twenty_ten,Nancy Meyers
253412,2.7980169999999998,55000000,203427584,Everest,Jason Clarke|Jake Gyllenhaal|Josh Brolin|John Hawkes|Sam Worthington,121,Adventure|Drama,1172,6.7,2015,50599977.7360098,187153294.93255,148427584,72,millions,twenty_ten,Baltasar KormÃ¡kur
274479,2.793297,60000000,101134059,Joy,Jennifer Lawrence|Bradley Cooper|Robert De Niro|Dascha Polanco|Edgar RamÃ­rez,124,Comedy|Drama,1001,6.4,2015,55199975.71201059,93043293.3409509,41134059,40,millions,twenty_ten,David O. Russell
257088,2.6144990000000004,105000000,133718711,Point Break,Edgar RamÃ­rez|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone,114,Action|Crime|Thriller,505,5.5,2015,96599957.49601871,123021159.990689,28718711,21,millions,twenty_ten,Ericson Core
295964,2.584264,20000000,36606743,Burnt,Bradley Cooper|Sienna Miller|Lily James|Alicia Vikander|Uma Thurman,100,Drama,631,6.3,2015,18399991.9040035,33678188.7415969,16606743,45,millions,twenty_ten,John Wells
238615,2.578919,26000000,30523226,Self/less,Ryan Reynolds|Ben Kingsley|Natalie Martinez|Matthew Goode|Michelle Dockery,116,Science Fiction|Mystery|Thriller,719,6.2,2015,23919989.475204602,28081355.564203497,4523226,14,millions,twenty_ten,Tarsem Singh
210860,2.575711,60000000,30418560,Mortdecai,Johnny Depp|Gwyneth Paltrow|Ewan McGregor|Paul Bettany|Olivia Munn,106,Comedy|Adventure,696,5.3,2015,55199975.71201059,27985062.8865723,0,0,millions,twenty_ten,David Koepp
306819,2.557859,15000000,64191523,The Danish Girl,Eddie Redmayne|Alicia Vikander|Matthias Schoenaerts|Amber Heard|Ben Whishaw,120,Drama,867,7.3,2015,13799993.9280026,59056175.175282896,49191523,76,millions,twenty_ten,Tom Hooper
201088,2.5507470000000003,70000000,17752940,Blackhat,Chris Hemsworth|Leehom Wang|Tang Wei|Viola Davis|Holt McCallany,133,Mystery|Crime|Action|Thriller|Drama,584,5.0,2015,64399971.6640124,16332697.613613,0,0,millions,twenty_ten,Michael Mann
273481,2.487849,30000000,84025816,Sicario,Emily Blunt|Benicio del Toro|Josh Brolin|Victor Garber|Jon Bernthal,121,Action|Crime|Drama|Mystery|Thriller,1479,7.1,2015,27599987.856005296,77303716.7063646,54025816,64,millions,twenty_ten,Denis Villeneuve
166424,2.4870419999999998,120000001,167977596,Fantastic Four,Miles Teller|Kate Mara|Michael B. Jordan|Jamie Bell|Toby Kebbell,100,Action|Adventure|Science Fiction,1565,4.4,2015,110399952.34402,154539320.322699,47977595,28,millions,twenty_ten,Josh Trank
310131,2.46449,3500000,40423945,The Witch,Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger,92,Mystery|Horror,700,5.8,2015,3219998.58320062,37190013.0363942,36923945,91,millions,twenty_ten,Robert Eggers
238713,2.404473,65000000,235666219,Spy,Melissa McCarthy|Jason Statham|Rose Byrne|Miranda Hart|Bobby Cannavale,120,Action|Comedy|Crime,1840,6.9,2015,59799973.6880115,216812826.082356,170666219,72,millions,twenty_ten,Paul Feig
256591,2.395366,50100000,153962963,Focus,Will Smith|Margot Robbie|Rodrigo Santoro|Robert Taylor|Gerald McRaney,105,Romance|Comedy|Crime|Drama,1831,6.7,2015,46091979.7195289,141645863.63582,103862963,67,millions,twenty_ten,Glenn Ficarra
256591,2.395366,50100000,153962963,Focus,Will Smith|Margot Robbie|Rodrigo Santoro|Robert Taylor|Gerald McRaney,105,Romance|Comedy|Crime|Drama,1831,6.7,2015,46091979.7195289,141645863.63582,103862963,67,millions,twenty_ten,John Requa
249070,2.354654,35000000,82347656,Hitman: Agent 47,Rupert Friend|Zachary Quinto|Hannah Ware|Emilio Rivera|Rolf Kanies,96,Action|Crime|Thriller,820,5.5,2015,32199985.8320062,75759810.18568349,47347656,57,millions,twenty_ten,Aleksander Bach
205775,2.345821,100000000,93820758,In the Heart of the Sea,Chris Hemsworth|Benjamin Walker|Cillian Murphy|Brendan Gleeson|Ben Whishaw,122,Thriller|Drama|Adventure|Action|History,805,6.4,2015,91999959.5200178,86315059.3813738,0,0,millions,twenty_ten,Ron Howard
334074,2.331636,20000000,0,Survivor,Pierce Brosnan|Milla Jovovich|Dylan McDermott|Angela Bassett|Robert Forster,96,Crime|Thriller|Action,280,5.4,2015,18399991.9040035,0.0,0,0,under_million,twenty_ten,James McTeigue
312221,2.3315669999999997,35000000,137935567,Creed,Michael B. Jordan|Sylvester Stallone|Graham McTavish|Tessa Thompson|Phylicia RashÄd,133,Drama,1171,7.3,2015,32199985.8320062,126900665.803707,102935567,74,millions,twenty_ten,Ryan Coogler
271718,2.31767,35000000,140795793,Trainwreck,Amy Schumer|Bill Hader|Brie Larson|Colin Quinn|Vanessa Bayer,125,Comedy,849,6.1,2015,32199985.8320062,129532072.56588799,105795793,75,millions,twenty_ten,Judd Apatow
333352,2.29573,13000000,32848185,Eye in the Sky,Helen Mirren|Aaron Paul|Alan Rickman|Iain Glen|Barkhad Abdi,102,Drama|Thriller|War,265,7.2,2015,11959994.737602301,30220316.9030605,19848185,60,millions,twenty_ten,Gavin Hood
276907,2.28135,25000000,42972994,Legend,Tom Hardy|Emily Browning|Christopher Eccleston|David Thewlis|Taron Egerton,131,Crime|Thriller,619,6.7,2015,22999989.8800044,39535137.0845396,17972994,41,millions,twenty_ten,Brian Helgeland
284289,2.2720439999999997,0,45895,Beyond the Reach,Michael Douglas|Jeremy Irvine|Hanna Mangan Lawrence|Ronny Cox|Martin Palmer,95,Thriller,81,5.5,2015,0.0,42223.381421712096,45895,99,under_million,twenty_ten,Jean-Baptiste LÃ©onetti
266647,2.234573,150000000,128388320,Pan,Levi Miller|Garrett Hedlund|Hugh Jackman|Rooney Mara|Amanda Seyfried,111,Adventure|Family|Fantasy,586,5.9,2015,137999939.280026,118117202.42843,0,0,millions,twenty_ten,Joe Wright
347096,2.165433,0,0,Mythica: The Darkspore,Melanie Stone|Kevin Sorbo|Adam Johnson|Jake Stormoen|Rocky Myers,108,Action|Adventure|Fantasy,27,5.1,2015,0.0,0.0,0,0,under_million,twenty_ten,Anne K. Black
308369,2.141506,0,0,Me and Earl and the Dying Girl,Thomas Mann|RJ Cyler|Olivia Cooke|Connie Britton|Nick Offerman,105,Comedy|Drama,569,7.7,2015,0.0,0.0,0,0,under_million,twenty_ten,Alfonso Gomez-Rejon
227973,2.140199,99000000,246233113,The Peanuts Movie,Noah Schnapp|Bill Melendez|Venus Schultheis|Hadley Belle Miller|Madisyn Shipman,88,Adventure|Animation|Comedy|Family,414,6.4,2015,91079959.92481759,226534364.284879,147233113,59,millions,twenty_ten,Steve Martino
321741,2.121884,35000000,48623572,Concussion,Will Smith|Bitsie Tulloch|Gugu Mbatha-Raw|Alec Baldwin|Matthew Willig,123,Drama,500,6.9,2015,32199985.8320062,44733666.5571867,13623572,28,millions,twenty_ten,Peter Landesman
296100,2.096273,25000000,52395996,The Night Before,Joseph Gordon-Levitt|Seth Rogen|Anthony Mackie|Lizzy Caplan|Jillian Bell,100,Comedy,363,6.1,2015,22999989.8800044,48204295.110110104,27395996,52,millions,twenty_ten,Jonathan Levine
263472,2.0809349999999998,2500000,5214043,Knock Knock,Keanu Reeves|Lorenza Izzo|Ana de Armas|Aaron Burns|Colleen Camp,99,Drama|Horror|Thriller,473,4.8,2015,2299998.98800044,4796917.44935632,2714043,52,millions,twenty_ten,Eli Roth
228205,2.070708,34000000,63013281,The Longest Ride,Scott Eastwood|Britt Robertson|Lolita Davidovich|Melissa Benoist|Jack Huston,128,Romance|Drama,711,7.3,2015,31279986.236806,57972193.012235,29013281,46,millions,twenty_ten,"George Tillman, Jr."
159824,2.060162,80000000,466183544,Hotel Transylvania 2,Adam Sandler|Andy Samberg|Selena Gomez|Kevin James|Steve Buscemi,89,Animation|Comedy|Family,919,6.8,2015,73599967.61601421,428888671.76898396,386183544,82,millions,twenty_ten,Genndy Tartakovsky
333348,2.055572,17000000,24000000,Love the Coopers,Steve Martin|Diane Keaton|John Goodman|Alan Arkin|Olivia Wilde,107,Family|Comedy,111,5.3,2015,15639993.118403,22079990.2848042,7000000,29,millions,twenty_ten,Jessie Nelson
285783,2.049886,35000000,61181942,The Walk,Joseph Gordon-Levitt|Ben Kingsley|Charlotte Le Bon|Ben Schwartz|James Badge Dale,123,Adventure|Drama|Thriller,706,6.8,2015,32199985.8320062,56287361.873560704,26181942,42,millions,twenty_ten,Robert Zemeckis
290764,2.0266509999999998,11000000,1863315,Tracers,Marie Avgeropoulos|Taylor Lautner|Adam Rayner|Rafi Gavron|Sam Medina,94,Action|Crime|Drama,326,5.9,2015,10119995.5472019,1714249.04573042,0,0,millions,twenty_ten,Daniel Benmayor
296099,2.000338,31000000,104384188,Vacation,Ed Helms|Christina Applegate|Skyler Gisondo|Steele Stebbins|Chris Hemsworth,99,Adventure|Comedy,846,6.1,2015,28519987.4512055,96033410.70529921,73384188,70,millions,twenty_ten,John Francis Daley
296099,2.000338,31000000,104384188,Vacation,Ed Helms|Christina Applegate|Skyler Gisondo|Steele Stebbins|Chris Hemsworth,99,Adventure|Comedy,846,6.1,2015,28519987.4512055,96033410.70529921,73384188,70,millions,twenty_ten,Jonathan M. Goldstein
243688,1.984529,35000000,95437994,Poltergeist,Sam Rockwell|Rosemarie DeWitt|Saxon Sharbino|Kyle Catlett|Kennedi Clements,93,Horror|Thriller,589,5.0,2015,32199985.8320062,87802915.846717,60437994,63,millions,twenty_ten,Gil Kenan
287424,1.9800389999999999,4000000,187112,Maggie,Arnold Schwarzenegger|Abigail Breslin|Joely Richardson|Laura Cayouette|J.D. Evermore,95,Horror,384,5.1,2015,3679998.38080071,172142.964257095,0,0,under_million,twenty_ten,Henry Hobson
301875,1.9597650000000002,0,2000000,Equals,Kristen Stewart|Nicholas Hoult|Guy Pearce|Jacki Weaver|Bel Powley,101,Drama|Romance|Science Fiction,135,5.6,2015,0.0,1839999.19040035,2000000,99,millions,twenty_ten,Drake Doremus
181283,1.95632,50000000,3324330,Child 44,Tom Hardy|Gary Oldman|Noomi Rapace|Joel Kinnaman|Paddy Considine,137,Crime|Thriller,341,5.9,2015,45999979.7600089,3058382.2543117995,0,0,millions,twenty_ten,Daniel Espinosa
328425,1.926739,5000000,58978653,The Gift,Jason Bateman|Rebecca Hall|Joel Edgerton|David Denman|Beau Knapp,108,Thriller|Mystery,631,6.6,2015,4599997.97600089,54260336.885451704,53978653,91,millions,twenty_ten,Joel Edgerton
274167,1.904898,50000000,240360392,Daddy's Home,Will Ferrell|Mark Wahlberg|Linda Cardellini|Thomas Haden Church|Hannibal Buress,96,Comedy,568,5.7,2015,45999979.7600089,221131463.342156,190360392,79,millions,twenty_ten,Sean Anders
370687,1.876037,0,0,Mythica: The Necromancer,Melanie Stone|Adam Johnson|Kevin Sorbo|Nicola Posener|Jake Stormoen,0,Fantasy|Action|Adventure,11,5.4,2015,0.0,0.0,0,0,under_million,twenty_ten,A. Todd Smith
307663,1.872696,10000000,0,Vice,Ambyr Childers|Thomas Jane|Bryan Greenberg|Bruce Willis|Johnathon Schaech,96,Thriller|Science Fiction|Action|Adventure,181,4.1,2015,9199995.95200178,0.0,0,0,under_million,twenty_ten,Brian A Miller
309809,1.865007,64000000,97571250,The Little Prince,Jeff Bridges|Rachel McAdams|Paul Rudd|Marion Cotillard|James Franco,92,Adventure|Animation|Fantasy,423,7.5,2015,58879974.0928114,89765510.50317529,33571250,34,millions,twenty_ten,Mark Osborne
258509,1.841779,0,233755553,Alvin and the Chipmunks: The Road Chip,Jason Lee|Justin Long|Bella Thorne|Matthew Gray Gubler|Jesse McCartney,92,Adventure|Animation|Comedy|Family,278,5.7,2015,0.0,215055014.135793,233755553,99,millions,twenty_ten,Walt Becker
298382,1.82313,11930000,18340000,The Dressmaker,Kate Winslet|Liam Hemsworth|Caroline Goodall|Judy Davis|Hayley Magnus,118,Drama,197,6.9,2015,10975595.1707381,16872792.5759712,6410000,34,millions,twenty_ten,Jocelyn Moorhouse
272693,1.758618,8500000,43528634,The DUFF,Mae Whitman|Robbie Amell|Bella Thorne|Bianca A. Santos|Skyler Samuels,100,Romance|Comedy,753,6.8,2015,7819996.55920151,40046325.65961671,35028634,80,millions,twenty_ten,Ari Sandel
283445,1.742286,10000000,52882018,Sinister 2,Shannyn Sossamon|James Ransone|Tate Ellington|Nicholas King|Lucas Jade Zumann,97,Horror,331,5.5,2015,9199995.95200178,48651435.1533685,42882018,81,millions,twenty_ten,Ciaran Foy
256961,1.73518,30000000,107597242,Paul Blart: Mall Cop 2,Kevin James|Raini Rodriguez|Eduardo VerÃ¡stegui|Daniella Alonso|Neal McDonough,94,Action|Adventure|Comedy|Family,422,5.3,2015,27599987.856005296,98989419.0846556,77597242,72,millions,twenty_ten,Andy Fickman
